cap_number,po_initials,po_race,po_sex,allegations_investigated,investigative_findings,disciplinary_findings
13-0227,JW,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0227,TD,White,Male,Falsification,Other than Sustained Finding,Not Applicable
13-0227,TD,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0227,TD,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0227,DT,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0227,MK,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0227,WB,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0227,WB,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0227,JM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0228,DM,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0228,BS,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0228,BS,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0228,BS,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0228,DM,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0228,DM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0229,JM,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0230,JM,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0230,JM,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0230,JM,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0230,JM,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0230,MW,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0230,MW,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0230,MW,White,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0231,UNK,UNK,UNK,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0231,MK,White,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0231,MH,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0231,MH,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0232,DO,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0233,ES,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0233,ES,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0233,RM,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0233,RM,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0234,CW,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0234,CW,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0235,DC,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0236,MB,Asian,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0237,FR,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0238,KW,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0238,KW,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0238,MB,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0238,KW,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0238,KW,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0238,MB,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0238,MB,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0238,MB,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0238,KW,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0238,MB,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0239,JT,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0239,CG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0239,CG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0239,JT,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0240,MR,Black,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0240,JC,White,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0240,CJ,White,Male,Criminal Allegation,Sustained Finding,Guilty Finding
13-0240,JA,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0241,LT,Black,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0242,MW,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0242,MW,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0242,RH,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0242,RH,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0243,SN,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0243,SN,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0244,JM,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0244,MY,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0245,PM,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0246,VL,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0247,MC,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0247,CW,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0248,UNK,UNK,UNK,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0249,JW,White,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0249,JW,White,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0250,UNK,UNK,UNK,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0250,UNK,UNK,UNK,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0251,GM,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0252,RG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0253,GM,Black,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0253,GM,Black,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0253,GM,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0253,GM,Black,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0254,JR,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0254,JS,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0255,WW,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0255,CG,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0256,MC,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0256,MC,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0256,BT,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0256,MC,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0257,DM,White,Female,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0257,FQ,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0258,TG,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0258,JW,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0259,TO,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0260,CF,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0261,JH,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0261,JH,White,Male,Departmental Violation,Sustained Finding,No Guilty Findings
13-0261,JH,White,Male,Disciplinary Code Violation,Sustained Finding,No Guilty Findings
13-0262,KD,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0263,DC,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0264,KE,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0264,CC,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0265,BS,Black,Male,Harassment,Sustained Finding,Guilty Finding
13-0266,JL,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0266,JL,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0266,UNK,UNK,UNK,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0266,AC,Asian,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0267,WS,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0267,RK,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0268,MG,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0269,FM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0269,FM,White,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0269,JO,White,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0269,JO,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0270,JD,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0270,UNK,UNK,UNK,Lack of Service,Other than Sustained Finding,Not Applicable
13-0270,JL,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0271,JF,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0272,SA,White,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0273,UNK,UNK,UNK,Departmental Violation,Sustained Finding,Pending
13-0274,AC,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0274,SN,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0274,SN,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0274,SN,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0274,AC,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0274,AC,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0275,DV,Latino,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0275,DV,Latino,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0275,KG,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0275,MG,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0275,KG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0275,MG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0275,IG,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0275,IG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0276,JM,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0276,JM,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0276,JM,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0276,JM,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0277,DM,White,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0278,GA,Latino,Female,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0279,AO,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0279,AJ,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0280,JD,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0280,EM,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0280,BS,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0280,BS,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0280,EM,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0280,JT,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0280,JT,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0280,RC,Latino,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0280,RC,Latino,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0281,UNK,UNK,UNK,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0281,UNK,UNK,UNK,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0282,MJ,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0282,MJ,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0283,CM,Latino,Female,Departmental Violation,Sustained Finding,Training/Counseling
13-0283,LR,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0283,LR,Black,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0283,TM,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0284,SS,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0284,NR,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0285,UNK,UNK,UNK,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0285,HH,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0285,JF,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0286,KB,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0286,KB,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0286,KB,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0286,KB,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0286,AW,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0286,AW,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0286,AW,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0286,AW,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0287,ER,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0287,ER,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0288,JP,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0288,TG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0288,DD,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0288,MM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0289,KT,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0290,MK,White,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0290,MK,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0290,MK,White,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0291,MC,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0291,MC,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0291,MC,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0291,SG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0291,SG,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0291,SG,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0292,RJ,Black,Female,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0292,DC,Black,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0292,EK,Black,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0292,DC,Black,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0292,HM,Black,Female,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0292,LM,Black,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0292,RE,Black,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0292,DW,Black,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0293,JN,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0293,GS,Latino,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0293,GS,Latino,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0293,MS,Latino,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0293,MK,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0293,MK,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0294,RA,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0294,JS,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0476,RE,Black,Male,Investigation OnGoing,Pending,Pending
13-0295,CA,White,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0295,CA,White,Female,Departmental Violation,Sustained Finding,No Guilty Findings
13-0295,CA,White,Female,Lack of Service,Sustained Finding,No Guilty Findings
13-0295,CA,White,Female,Departmental Violation,Sustained Finding,No Guilty Findings
13-0296,MP,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0296,JB,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0296,MP,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0296,JB,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0296,JM,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0296,JM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0296,JM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0297,BH,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0297,BH,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0298,EA,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0298,SO,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0298,JL,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0299,TM,Other,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0299,CH,Black,Female,Departmental Violation,Sustained Finding,No Guilty Findings
13-0300,SA,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0300,RO,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0301,CN,Latino,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0302,GM,White,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0303,KS,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0303,KS,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0303,CR,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0303,CR,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0304,MB,White,Female,Departmental Violation,Sustained Finding,Training/Counseling
13-0304,MB,White,Female,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0304,TS,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0304,TS,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0305,JM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0306,WR,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0306,WR,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0306,WR,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0307,MM,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0307,JR,Latino,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0307,AD,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0308,SP,Black,Female,Falsification,Other than Sustained Finding,Not Applicable
13-0308,SP,Black,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0309,PW,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0309,AA,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0310,JB,White,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0310,JP,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0310,DB,Black,Female,Departmental Violation,Sustained Finding,Training/Counseling
13-0310,WO,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0310,DS,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0311,ER,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0311,ER,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0311,ER,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0311,ER,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0311,MS,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0311,DT,Asian,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0311,MS,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0311,JS,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0311,MS,White,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0311,DT,Asian,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0312,SW,Black,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0312,SW,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0312,SW,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0312,SW,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0313,GT,Latino,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0313,GT,Latino,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0314,KS,White,Female,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0315,CL,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0315,CL,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0315,CL,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0315,MH,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0315,MH,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0315,MH,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
16-0190,JS,White,Male,Investigation OnGoing,Pending,Pending
13-0316,RJ,Black,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0316,RJ,Black,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0317,MG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0317,MG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0317,MG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0318,KG,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0318,MG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0318,KG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0319,BW,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0319,DR,Latino,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0319,DR,Latino,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0319,BW,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0320,RG,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0321,AF,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0321,PB,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0322,UNK,UNK,UNK,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0323,JK,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0323,JK,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0323,BD,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0323,BD,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0324,TM,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0324,TM,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0325,UNK,UNK,UNK,Lack of Service,Other than Sustained Finding,Not Applicable
13-0325,AO,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0325,TB,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0325,HG,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0326,JR,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0327,BW,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0327,BW,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0327,EC,Latino,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0327,EC,Latino,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0328,NC,Black,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0328,DR,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0328,SB,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0329,LC,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0330,OD,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0331,JH,White,Male,Harassment,Sustained Finding,No Guilty Findings
13-0331,JH,White,Male,Departmental Violation,Sustained Finding,No Guilty Findings
13-0332,EL,Asian,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0333,MF,Black,Female,Harassment,Other than Sustained Finding,Not Applicable
13-0333,RM,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0333,RM,Black,Male,Harassment,Sustained Finding,Training/Counseling
13-0334,AW,White,Male,Lack of Service,Sustained Finding,Training/Counseling
13-0335,IN,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0335,IN,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0335,IN,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0335,RL,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0335,PK,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0336,MA,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0337,JH,White,Male,Lack of Service,Sustained Finding,Training/Counseling
13-0337,CW,Black,Male,Lack of Service,Sustained Finding,Training/Counseling
13-0338,UNK,UNK,UNK,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0339,DD,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0340,KR,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0340,KR,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0341,SB,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0341,DP,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0342,NP,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0342,DJ,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0343,RP,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0344,ES,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0344,ES,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0345,AR,Asian,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0345,RE,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0345,TP,Latino,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0345,JM,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0346,RS,Asian,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0347,TS,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0348,RT,Latino,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0348,RT,Latino,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0348,RT,Latino,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0348,RT,Latino,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0348,MG,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0348,MG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0349,WF,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0349,WF,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0349,BW,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0349,BW,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0349,BM,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0350,MS,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0350,MS,White,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
