complaint_id,date_received,district_occurrence,general_cap_classification,summary
15-0511,8/31/15,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-22-15 at 4:10am, they were improperly stopped and their vehicle improperly searched by an officers assigned to the 26th District."
15-0512,9/22/15,19,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 8-27-15 at 2:12am, they were falsely issued two traffic citations by a sergeant assigned to the 19th District."
15-0513,8/31/15,24,PHYSICAL ABUSE,"According to the complainant, on 8-27-15 at 3:30am, their juvenile family member was physically abused by unknown 24th District officers."
15-0514,8/31/15,25,CRIMINAL ALLEGATION,"According to the complainant, on 5-10-15 at 8:00pm, proper police procedure was not followed by officers assigned to the 25th District."
15-0515,8/31/15,24,PHYSICAL ABUSE,"According to the complainant, on 7-2-15 at 6:48pm, their sibling was physically abused by an officer assigned to the 24th District."
15-0516,8/31/15,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-26-15 at 5:00pm, they were harassed and threatened by an officer assigned to the 6th District."
15-0517,9/2/15,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-5-15 at 4:00pm, proper police procedures were not followed by an officer assigned to the Center City District."
15-0518,9/2/15,3,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-12-15 at 11:00pm, they were threatened with arrest by an unknown officer in the 3rd District."
15-0519,9/2/15,26,VERBAL ABUSE,"According to the complainant, on 8-16-15 at 4:15am, they were verbally abused by an unknown 26th District officer."
15-0520,9/3/15,6,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 08-28-15 at 11:49pm, their juvenile family member was harassed by an officer assigned to the 6th District."
15-0521,9/3/15,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-28-15 at 10:00am, they were treated unprofessionally by an off duty officer assigned to the 15th District. This incident occurred in the confines of the 35th District."
15-0522,9/3/15,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-16-15 at 7:18am, they were improperly ticketed by an officer assigned to the 24th District."
15-0523,9/2/15,6,CRIMINAL ALLEGATION,"According to the complainant, on 8-28-15 at 3:40pm, an off-duty officer assigned to the 9th District, intentionally struck their vehicle. This incident occurred in the confines of the 6th district."
15-0524,9/3/15,14,DOMESTIC,"According to the complainant, on 8-30-15 at 4:15pm, they were harassed by off-duty officer assigned to the 5th District, and they did not receive proper services from officer's assigned to the 14th District."
15-0525,9/3/15,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-28-15 at 11:30pm, they were improperly issued a parking ticket by an officer assigned to the 24th District."
15-0526,9/3/15,19,PHYSICAL ABUSE,"According to the complainant, on 8-30-15 at 11:00am, they were falsely detained and physically abused by officers assigned to the 19th District."
15-0527,9/3/15,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-31-15 at 5:00pm, they were racially profiled and falsely issued a traffic citation by an officer assigned to Highway Patrol. This incident occurred in the confines of the 18th District."
15-0528,9/4/15,35,LACK OF SERVICE,"According to the complainant, on 7-14-15 at 9:30pm, they did not receive proper service from two officers assigned to the Narcotics Bureau. This incident occurred in the confines of the 35th District."
15-0529,9/30/15,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-06-15 at 8:30pm, they were falsely arrested by an officer assigned to the 2nd District and a detective, assigned to the Narcotics Bureau."
15-0530,9/4/15,2,PHYSICAL ABUSE,"According to the complainant, on 2-14-14, they were physically abused by an officer assigned to the 2nd District."
15-0531,9/8/15,15,LACK OF SERVICE,"According to the complainant, on 8-22-15 at 7:40pm, they did not receive proper services from unidentified 15th District officers."
15-0532,9/9/15,77,VERBAL ABUSE,"According to the complainant, on 7-23-15 at 1:30pm, they were verbally abused by an officer assigned to the Airport Unit."
15-0533,9/11/15,2,LACK OF SERVICE,"According to the complainant, on 9-2-15, they did not receive proper service from unknown police department employees. This incident occurred in the confines of the 2nd District."
15-0534,9/11/15,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, an officer assigned to the 14th District, is associating with known criminals."
15-0535,9/10/15,15,CRIMINAL ALLEGATION,"According to the complainant, on 9-4-15 at 7:45am, they were threatened by an unidentified off- duty officer. This incident occurred in the confines of the 15th District."
15-0536,9/15/15,25,CRIMINAL ALLEGATION,"According to the complainant, on 9-5-15 at 8:26pm, they were physically abused and money was taken from them by an officer assigned to the 25th District."
15-0537,9/15/15,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-6-15 at 11:00pm, their vehicle was illegally searched by officers assigned to the 25th District."
15-0538,9/11/15,12,LACK OF SERVICE,"According to the complainant, on 9-7-15 at 5:51pm, they did not receive proper service from officers assigned to the 12th District."
15-0539,9/14/15,2,LACK OF SERVICE,"According to the complainant, on 9-5-15 at 1:00pm, they did not receive proper service from a sergeant assigned to the 2nd District."
15-0540,9/14/15,35,PHYSICAL ABUSE,"According to the complainant, on 3-16-13 at 11:30pm, they were physically abused by officers assigned to the 35th District."
15-0541,9/15/15,8,VERBAL ABUSE,"According to the complainant, on 8-28-15 at 10:00am, they were verbally abused by an officer assigned to Highway Patrol. This incident occurred in confines of the 8th District."
15-0542,9/15/15,22,PHYSICAL ABUSE,"According to the complainant, on 9-7-15 at 10:00pm, they were physically abused by unknown 22nd District officers."
15-0543,9/15/15,39,VERBAL ABUSE,"According to the complainant, on 8-26-15 at 11:30am, they were treated unprofessionally by officers assigned to the 39th District."
15-0544,9/15/15,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-27-15 at 8:30am, they were harassed by unidentified officers. This incident occurred in the confines of the 25th District."
15-0545,9/15/15,15,PHYSICAL ABUSE,"According to the complainant, on 9-29-14 at 9:00pm, they were physically abused by unknown officers assigned to the 15th District."
15-0546,9/15/15,6,VERBAL ABUSE,"According to the complainant, on 8-20-15 at 12:30pm, they were verbally abused and treated unprofessionally by an officer assigned to Traffic. This incident occurred in the confines of the 6th District."
15-0547,9/15/15,25,LACK OF SERVICE,"According to the complainant, on 5-7-14 at 1:00pm, they did not receive proper service from an unknown 25th District officer."
15-0548,9/15/15,17,HARASSMENT,"According to the complainant, on 9-7-15 at 7:00pm, they did not receive proper service from a sergeant assigned to the 17th District."
15-0549,9/15/15,24,VERBAL ABUSE,"According to the complainant, on 9-11-15 at 12:32am, they were verbally abused and proper police procedures were not followed by an officer assigned to the 24th District."
15-0550,9/16/15,15,LACK OF SERVICE,"According to the complainant, on 4-5-15 at 1:30pm, while driving, they did not receive proper service from unknown 15th District officers."
15-0551,9/17/15,15,VERBAL ABUSE,"According to the complainant, on 9-12-15 at 2:15am, they were verbally abused by an officer assigned to the 15th District."
15-0552,9/17/15,3,FALSIFICATION,"According to the complainant, on 9-4-15 at 3:00am, unidentified 911 dispatchers did not follow proper police procedure. This incident occurred in the confines of the 3rd District."
15-0553,9/17/15,24,LACK OF SERVICE,"According to the complainant, on 8-20-15 on 4:07am, they did not receive proper service from unidentified 24th District officers and a 24th District sergeant."
15-0554,9/18/15,35,LACK OF SERVICE,"According to the complainant, on 7-7-15 at 4:00pm, they did not receive proper service from an unknown 35th District officer."
15-0555,9/18/15,19,LACK OF SERVICE,"According to the complainant, on 3-25-15 at 4:50pm, they did not receive proper service officers assigned to the 19th District."
15-0556,10/6/15,77,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-13-15 at 9:00pm, they were treated unprofessionally by an officer assigned to the Airport Unit."
15-0557,9/22/15,14,LACK OF SERVICE,"According to the complainant, between 9-14-15 and 9-15-15 they called 911 several times in reference to threats made against them. The complainant stated they did not receive proper service from unknown 14th District officers."
15-0558,9/17/15,N/A,NON-INVESTIGATORY INCIDENT,"According to the complainant, between February 2013 and March 2013, they were harassed through social media by a detective assigned to Northwest Detective Division."
15-0559,9/22/15,22,PHYSICAL ABUSE,"According to the complainant, on 9-12-15 at 3:30am, they were physically abused by officers assigned to the 22nd District."
15-0560,9/18/15,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-16-15 at 8:45pm, they were improperly searched by unknown plainclothes officers in the 22nd District."
15-0561,9/18/15,N/A,HARASSMENT,"According to the complainant, they were threatened via social media by an officer assigned to the 14th District."
15-0562,9/22/15,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-17-15 at 7:40pm, proper police procedures were not followed by officers assigned to the 18th District."
15-0563,9/21/15,17,PHYSICAL ABUSE,"According to the complainant, on 9-15-15 at 4:30pm, they were physically abused by officers assigned to the 17th District."
15-0564,10/1/15,12,CRIMINAL ALLEGATION,"According to the complainant, on 9-18-15 at 7:20pm, they were falsely arrested and their money was improperly taken from them by officers assigned to the 12th District."
15-0565,10/5/15,24,CRIMINAL ALLEGATION,"According to complainant, on 09-19-15, money was improperly taken from their residence by member of the Narcotics Strike Force. This incident occurred in the confines of the 14th District."
15-0566,9/23/15,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-19-15 at 3:41pm, they were harassed and falsely ticketed by an officer assigned to the 16th District."
15-0567,10/1/15,14,CRIMINAL ALLEGATION,"According to the complainant, on 9-20-15 at 9:10pm, they were illegally evicted from their residence by officers assigned to the 14th District."
15-0568,9/28/15,12,PHYSICAL ABUSE,"According to the complainant, on 9-16-15 at 11:59pm, they and their partner were harassed and physically abused by officers assigned to the 12th District."
15-0569,9/28/15,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-20-15 at 8:30pm, they were falsely detained by officers assigned to the 16th District."
15-0570,9/28/15,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-20-15 at 8:30pm, they were treated unprofessionally by an officer assigned to the 35th District."
15-0571,9/28/15,39,PHYSICAL ABUSE,"According to the complainant, on 4-2-15 at 12:00pm, they were verbally and physically abused by officers assigned to the 39th District."
15-0572,9/28/15,18,LACK OF SERVICE,"According to the complainant, on 4-27-14 at 4:30pm, they did not receive proper service from a detective assigned to Southwest Detective Division and an officer assigned to the 16th District."
15-0573,9/28/15,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-18-15 at 10:00am, they were falsely arrested by officers assigned to the 12th District."
15-0574,9/28/15,15,PHYSICAL ABUSE,"According to the complainant, on 9-11-15 at 1:42pm, their juvenile family member was physically abused by an officer assigned to the 15th District."
15-0575,9/28/15,35,LACK OF SERVICE,"According to the complainant, on 09-24-15, they did not receive proper service from officers assigned to the 35th District."
15-0576,9/29/15,35,VERBAL ABUSE,"According to the complainant, on 9-23-15 at 9:25am, they were verbally abused by an officer assigned to the 35th District."
15-0577,9/29/15,6,LACK OF SERVICE,"According to the complainant, on 9-10-15 at 8:30pm, they did not receive proper service from officers assigned to the 6th District."
15-0578,10/1/15,6,VERBAL ABUSE,"According to the complainant, on 9-22-15 at 7:45pm, they were verbally abused by an officer assigned to the 6th District."
15-0579,10/1/15,15,PHYSICAL ABUSE,"According to the complainant, on 9-24-15 at 9:20pm, they were physically and verbally abused by an officer assigned to the 15 District."
15-0580,10/1/15,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-26-15 at 11:30am, they were verbally abused and improperly issued traffic citations by officers assigned to the 18th District."
15-0581,10/1/15,14,HARASSMENT,"According to the complainant, on 9-28-15 at 10:20am, they were harassed by officers assigned to the 14th District and other Northwest Police Division officers."
15-0582,10/2/15,7,LACK OF SERVICE,"According to the complainant, on 9-23-15 at 11:45am, they did not receive proper service from a detective assigned to Northeast Detective Division."
15-0583,10/5/15,15,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-5-15 at 7:00am, their personal property was improperly confiscated by a detective assigned to Northeast Detective Division."
15-0584,10/6/15,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-23-15 at 1:00pm, they were improperly searched by officers assigned to SWAT. investigation. This incident occurred in the confines of the 9th District."
15-0585,10/5/15,1,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 8-24-15 at 7:48pm, they were racially profiled and did not follow police procedures by an officer assigned to the 1st District."
15-0586,10/5/15,14,PHYSICAL ABUSE,"According to the complainant, in June of 2014, they were physically abused and did not receive proper service from an unknown officer. This incident occurred in the confines of the 14th District."
15-0587,10/5/15,2,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 8-18-15 at 6:15pm, they did not receive proper service from an investigator assigned to Internal Affairs."
15-0588,10/6/15,18,LACK OF SERVICE,"According to the complainant, on 8-4-15 at 9:45pm, they did not receive proper service from officers assigned to the 16th and 18th District."
15-0589,10/6/15,17,PHYSICAL ABUSE,"According to the complainant, on 9-30-15 at 9:40pm, they were verbally and physically abused by officers assigned to the 17th District."
15-0590,10/6/15,N/A,HARASSMENT,"According to the complainant, they were harassed and physically abused by an officer assigned to the 8th District."
15-0591,10/8/15,17,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-4-15 at 10:30am, they verbally abused and treated unprofessionally by an officer assigned to the 17th District."
15-0592,10/8/15,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-8-15 at 11:11pm, their vehicle was improperly impounded by an officer assigned to the 18th District."
15-0593,10/8/15,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-5-15 at 9:15am, they were threatened by off-duty officer assigned to the 26th District."
15-0594,10/8/15,18,PHYSICAL ABUSE,"According to the complainants, on 10-4-15 at 8:40pm, they were physically abused and harassed by officers assigned to the 18th District."
15-0595,10/8/15,2,PHYSICAL ABUSE,"According to the complainant, on 9-23-15 at 5:00am, their juvenile family member was physically abused by an officer assigned to the 2nd District."
15-0596,10/9/15,15,LACK OF SERVICE,"According to the complainant, on 9-17-15 at 12:05am, they did not receive proper service from an officer assigned to the 15th District."
15-0597,10/9/15,19,PHYSICAL ABUSE,"According to the complainant, on 9-20-15 at 8:00pm, they were verbally and physically abused by an officer assigned to the 19th District."
15-0598,10/9/15,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-11-15 at 9:35pm, they were they were verbally abused by an officer assigned to the 22nd District."
15-0599,10/9/15,19,PHYSICAL ABUSE,"According to the complainant, on 9-30-15 at 5:45pm, their juvenile family member was physically abused by an officer assigned to the 19th District."
15-0600,10/9/15,6,PHYSICAL ABUSE,"According to the complainant, on 9-26-15 at 4:00am, they were physically abused by an officer assigned to the 19th District."
15-0601,10/13/15,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-25-15 at 6:00am, their property was improperly entered by officers assigned to the 35th District."
15-0602,10/13/15,15,HARASSMENT,"According to the complainant, on 9-29-15 at 2:30pm, they were harassed by an officer assigned to the 15th District."
15-0603,10/13/15,19,VERBAL ABUSE,"According to the complainant, on 10-7-15 at 5:30pm, they were verbally abused by a sergeant inside the 19th District."
15-0604,10/14/15,7,LACK OF SERVICE,"According to the complainant, on 10-5-15 at 10:45pm, they did not receive proper service from officers assigned to the 7th District."
15-0605,10/14/15,8,VERBAL ABUSE,"According to the complainant, on 9-3-15 at 7:25am, they were verbally abused by an officer assigned to the 8th District."
15-0606,10/14/15,3,VERBAL ABUSE,"According to the complainant, on 9-18-15 at 5:50pm, they were verbally abused by officers assigned to Highway Patrol. This incident occurred in the confines of the 3rd District."
15-0607,10/14/15,15,LACK OF SERVICE,"According to the complainant, on 8-2-15 at 12:00pm, they did not receive proper service from a detective assigned to Northeast Detective Division."
15-0608,10/16/15,2,PHYSICAL ABUSE,"According to the complainant, on 9-22-15 at 2:45pm, they were physically abused by an officer assigned to the 2nd District."
15-0609,10/16/15,15,PHYSICAL ABUSE,"According to the complainant, on 10-2-15 at 4:00pm, they were physically abused by an officer assigned to the 15th District."
15-0610,10/27/15,N/A,NON-INVESTIGATORY INCIDENT,"According to the complainant, between 10-02-15 and 10-08-15, they were harassed by a sergeant and officer assigned to the 8th District."
15-0611,10/16/15,19,VERBAL ABUSE,"According to the complainant, on 10-11-15 at 8:20pm, they were verbally abused by officers assigned to the 19th District."
15-0612,10/16/15,15,LACK OF SERVICE,"According to the complainant, on 10-10-15 at 4:30pm, they were verbally abused and did not receive proper service by officers assigned to the 15th District."
15-0613,10/16/15,25,VERBAL ABUSE,"According to the complainant, on 10-12-15 at 4:30pm, they were verbally abused by officers assigned to the 24th District."
15-0614,10/16/15,1,PHYSICAL ABUSE,"According to the complainant, on 10-11-15 at 11:00am, they were physically abused by an officer assigned to the 1st District."
15-0615,10/20/15,17,VERBAL ABUSE,"According to the complainants, on 10-8-15 at 8:45am, they were treated unprofessionally and verbally abused by officers assigned to the 17th District."
15-0616,10/20/15,6,DEPARTMENTAL VIOLATIONS,"According to the complainants, on 7-12-15, a dispatcher assigned to Police Radio, accessed departmental computer systems to obtain and provide the criminal history of their family member to their cousin for use in court."
15-0617,10/20/15,25,LACK OF SERVICE,"According to the complainant, on 7-4-15 at 11:00am, they did not receive proper service from an officer assigned to the 25th District."
15-0618,10/20/15,26,PHYSICAL ABUSE,"According to the complainant, on 9-1-15 at 9:00am, they were verbally abused by an officer assigned to the 26th District."
15-0619,10/20/15,6,CRIMINAL ALLEGATION,"According to the complainant, on 6-2-15 at 11:00am, they were physically and verbally abused by an officer assigned to the Center City District."
15-0620,10/20/15,19,PHYSICAL ABUSE,"According to the complainant, on 10-14-15 at 11:20pm, they were verbally and physically abused by an officer assigned to the 19th District."
15-0621,10/22/15,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-15-15 at 9:40pm, $450 was taken from them by officers assigned to the 24th District."
15-0622,10/21/15,18,PHYSICAL ABUSE,"According to the complainant, on 10-16-15 at 12:30am, they were verbally and physically abused by an officer assigned to the 18th District."
15-0623,10/22/15,24,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-15-15 at 11:40am, they were treated unprofessionally by officers assigned to the 24th District."
15-0624,10/22/15,35,VERBAL ABUSE,"According to the complainant, on 10-18-15 at 9:13pm, they were verbally abused by officers assigned to the 35th District."
15-0625,10/22/15,N/A,HARASSMENT,"According to the complainant, between 9-1-15 and 10-10-15, they are being harassed by an officer assigned to the 18th District.."
15-0626,10/23/15,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-15-15 at 6:00pm, their family member was falsely detained by officers assigned to the 39th District."
15-0627,10/23/15,9,PHYSICAL ABUSE,"According to the complainant, on 10-16-15 at 4:15pm, they observed an officer verbally abuse and physically assault an unidentified person. This incident occurred in the confines of the 9th District."
15-0628,10/23/15,6,PHYSICAL ABUSE,"According to the complainant, on 10-17-15 at 3:19pm, they were physically abused by an officer assigned to the 6th District."
15-0629,10/23/15,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-20-15 at 6:30pm, they were harassed by unidentified officers in the 12th District."
15-0630,10/26/15,18,LACK OF SERVICE,"According to the complainant, on 12-17-12 at 5:00pm, they did not receive proper service from unknown 15th District officers."
15-0631,10/27/15,12,VERBAL ABUSE,"According to the complainant, on 10-20-15 at 5:45pm, they were verbally abused and treated unprofessionally by an officer assigned to 12th District."
15-0632,10/22/15,17,CRIMINAL ALLEGATION,"According to the complainant, on 10-21-15 at 11:02am, their property was forcibly entered into, searched and personal property is missing. The search was conducted by officers assigned to the 17th District."
15-0633,10/26/15,16,HARASSMENT,"According to the complainant, on 10-20-15 at 3:20pm, they were harassed by a detective assigned to Southwest Detective Division and two unidentified officers. This incident occurred in the confines of the 18th District."
15-0634,10/26/15,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-20-15 at 12:30am, they were touched inappropriately and their property was damaged by officers assigned to the 14th District."
15-0635,10/27/15,2,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-21-15 at 7:42pm, they were treated unprofessionally by an sergeant assigned to the 2nd District."
15-0636,10/28/15,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-21-15 at 8:30pm, their property was not returned to them after their release from custody. The complainant was arrested by officers assigned to the 16th District."
15-0637,10/28/15,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-7-15 at 11:00pm, they are missing property after their release from custody. The complainant was arrested by officers assigned to the 2nd District."
15-0638,10/29/15,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-18-15 at 4:30pm, they were harassed and improperly issued a summary citation by officers assigned to the 35th District."
15-0639,10/29/15,3,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-22-12 at 4:15pm, a School Crossing Guard violated departmental policies. This incident took place in the confines of the 3rd District."
15-0640,10/29/15,22,PHYSICAL ABUSE,"According to the complainant, on 9-7-15 at 8:40pm, they were physically abused by an officer assigned to the 22nd District."
15-0641,10/29/15,7,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-22-15 at 11:00pm, they were treated unprofessionally by an officer assigned to the 7th District."
15-0642,10/29/15,6,VERBAL ABUSE,"According to the complainant, on 10-12-15 at 5:00pm, they were verbally abused by a detective assigned to the Northwest Detective Division and that they did not receive proper service from unknown PDU personnel."
15-0643,10/29/15,7,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-25-15 at 12:40pm, they were threatened and verbally abused by officers assigned to the 19th District."
15-0644,10/29/15,N/A,HARASSMENT,"According to the complainant, on 5-24-15, they were involved in a domestic incident with the officer assigned to the 24th District."
15-0645,10/29/15,39,VERBAL ABUSE,"According to the complainant, on 10-24-15 at 9:20pm, they were verbally abused and treated unprofessionally by an unidentified 39th District officer."
15-0720,12/4/15,18,LACK OF SERVICE,"According to the complainant, in August, 2015, an unknown officer in the 18th District did not follow proper police procedures."
15-0646,11/9/15,N/A,HARASSMENT,"According to the complainant, on 10-6-15 at 10:40pm, an officer is harassing them via social media. The officer is assigned to the Deputy Commissioner, Office of Crime and Strategy."
15-0647,10/29/15,14,HARASSMENT,"According to the complainant, on 9-17-15 at 4:00pm, they were harassed by an officer assigned to the 22nd District."
15-0648,10/29/15,39,CRIMINAL ALLEGATION,"According to the complainant, on 10-17-15, they were threatened by a civilian employee assigned to the 39th District."
15-0649,11/3/15,2,VERBAL ABUSE,"According to the complainant, on 10-20-15, they did not receive proper service from a detective assigned to Northeast Detective Division."
15-0650,10/29/15,18,PHYSICAL ABUSE,"According to the complainant, on 10-17-15 at 3:00pm, they were physically abused by an officer assigned to the 18th District."
15-0651,11/3/15,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-22-15 at 9:52pm, they were improperly arrested by officers assigned to the 35th District."
15-0652,11/3/15,7,CRIMINAL ALLEGATION,"According to the complainant, on 5-23-15 at 12:30pm, they were physically abused by an off-duty officer assigned to the Safety Office. This incident occurred in the confines of the 7th District."
15-0653,11/3/15,25,PHYSICAL ABUSE,"According to the complainant, on 10-30-15 at 2:30am, their family member was physically abused by officers assigned to the 25th District."
15-0654,11/3/15,2,LACK OF SERVICE,"According to the complainant, they did not receive proper service from an supervisor and officers assigned to the 2nd District."
15-0655,11/3/15,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-29-15 at 5:45pm, departmental policies were not followed by an officer assigned to the 16th District."
15-0656,12/22/15,2,NON-INVESTIGATORY INCIDENT,"According to the complainant, since the summer of 2015, they are not receiving proper service from Internal Affairs investigators that have been assigned to investigate their complaints."
15-0657,11/9/15,18,PHYSICAL ABUSE,"According to the complainant, they were physically abused by unidentified Philadelphia Police officers. This incident occurred in the confines of the 18th district."
15-0658,11/6/15,7,VERBAL ABUSE,"According to the complainant, on 10-30-15 at 7:00pm, during a custody exchange, they were verbally abused by an officer assigned to the 7th District."
15-0659,11/6/15,14,CRIMINAL ALLEGATION,"According to the complainant, on 10-31-15 at 10:30pm, they were threatened and verbally abused by their next-door neighbor, an off-duty officer. The officer is assigned to the 22nd District."
15-0660,11/5/15,12,PHYSICAL ABUSE,"According to the complainant, on 10-30-15 at 11:15pm, they were physically abused by officers assigned to the 12th District."
15-0661,11/10/15,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-30-15 at 9:59pm, they were harassed by officers assigned to the 24th District."
15-0662,11/12/15,24,LACK OF SERVICE,"According to the complainant, on 10-30-15 at 1:30am, they did not receive proper service from officers assigned to the 24th District."
15-0663,11/12/15,25,HARASSMENT,"According to the complainant, on 9-22-15 at 3:00pm, they were harassed by unidentified plainclothes and uniformed officers assigned to Special Victims."
15-0664,11/6/15,9,LACK OF SERVICE,"According to the complainant, on 10-19-15 at approximately 12:30pm, they did not received proper service from an officer assigned to the 9th District."
15-0665,11/6/15,1,LACK OF SERVICE,"According to the complainant on 8-20-15, they did not receive proper service from a detective, assigned to South Detective Division and an officer assigned to the 1st District."
15-0666,11/9/15,16,LACK OF SERVICE,"According to the complainant, on 11-01-15 at 6:00am, a proper investigation was not conducted by officers assigned to the 16th District."
15-0667,11/12/15,15,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-18-15 at 1:00pm, they are missing property after being falsely detained by a supervisor assigned to the 15th District."
15-0668,11/12/15,16,PHYSICAL ABUSE,"According to the complainant, on 10-20-15 at 9:00pm, they were physically abused by officers assigned to the 16th District."
15-0669,11/10/15,6,VERBAL ABUSE,"According to the complaint, on 11-02-15 at 5:00pm, they were treated unprofessionally by a Philadelphia Police dispatcher."
15-0670,11/9/15,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, between May and August of 2015, they are being harassed by unidentified 16th District officers."
15-0671,11/19/15,12,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 11-5-15 at 4:18pm, proper police procedures were not followed by a sergeant and officers assigned to the 12th District."
15-0672,11/9/15,19,PHYSICAL ABUSE,"According to the complainant, on 10-27-15 at approximately 12:00am, they were physically abused and their vehicle was improperly searched by officers assigned to the 19th District."
15-0673,11/10/15,3,PHYSICAL ABUSE,"According to the complainant, on 10-31-15 at 7:30pm, they were physically and verbally abused by an unidentified officer assigned to Mounted Patrol. This incident occurred in the confines of the 3rd District."
15-0674,11/12/15,16,CRIMINAL ALLEGATION,"According to the complainant, since May of 2015, they are being harassed by an off-duty officer assigned to Traffic."
15-0675,11/12/15,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-8-15 at 9:30am, their juvenile family member was falsely arrested by officers assigned to the 39th District."
15-0676,11/17/15,14,VERBAL ABUSE,"According to the complainant, on 11-9-15 at 2:38am, they were verbally abused by officers assigned to the 14th District."
15-0677,11/16/15,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-6-15 at 6:00am, their residence was improperly searched by officers assigned to the 12th District."
15-0678,11/17/15,7,LACK OF SERVICE,"According to the complainant, on 9-10-15 at 1:15pm, they did not receive proper service from an officer assigned to the 7th District."
15-0679,11/16/15,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-9-15 at 3:00pm, their family member was harassed by officers assigned to the 26th District."
15-0680,11/17/15,25,CRIMINAL ALLEGATION,"According to the complainant, on 10-13-15 at 4:45pm, they are missing property from their home after a search warrant was executed by unidentified officers."
15-0681,11/17/15,22,PHYSICAL ABUSE,"According to the complainant, on 11-8-15 at 1:50am, they were physically abused by an officer assigned to the 22nd District."
15-0682,11/16/15,N/A,NON-INVESTIGATORY INCIDENT,"According to the complainant, the police department's social media policy is being violated by an officer assigned to the 7th District."
15-0683,11/18/15,16,LACK OF SERVICE,"According to the complainant, on 10-26-15 at 10:15am, they did not receive proper service from officers assigned to the 16th District."
15-0684,11/17/15,22,LACK OF SERVICE,"According to the complainant, on 11-8-15 at 6:32am, they did not receive proper service from an officer assigned to the 22nd District."
15-0685,11/18/15,22,PHYSICAL ABUSE,"According to the complainant, in of February, 2015, they were physically abused by officers assigned to the 22nd District."
15-0686,11/18/15,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-25-14, they did not receive proper services from a sergeant and an officer assigned to the 24th District."
15-0687,11/18/15,18,NON-INVESTIGATORY INCIDENT,"According to the complainant, since June 2015, they have been harassed and falsely issued traffic citations by officers assigned to the 18th District."
15-0688,11/18/15,25,VERBAL ABUSE,"According to the complainant, on 9-4-15 at 4:00pm, they were verbally abused by an officer assigned to the Highway Patrol Unit. This incident occurred in the confines of the 25th district."
